ROUTE_ID,COMPANY_CODE,DISTRICT,ROUTE_NAMEC,ROUTE_NAMES,ROUTE_NAMEE,ROUTE_TYPE,SERVICE_MODE,SPECIAL_TYPE,JOURNEY_TIME,LOC_START_NAMEC,LOC_START_NAMES,LOC_START_NAMEE,LOC_END_NAMEC,LOC_END_NAMES,LOC_END_NAMEE,HYPERLINK_C,HYPERLINK_S,HYPERLINK_E,FULL_FARE,LAST_UPDATE_DATE
1000263,"CTB",,"91","91","91",1,"T",1,4.7000000000000000e+01,"海怡半島(第18座)","海怡半岛(第18座)","South Horizons (Block 18)","中環碼頭","中环码头","Central (Central Ferry Piers)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=1",8.0000,"01/02/25 00:00:00"
1000264,"CTB",,"91","91","91",1,"T",1,4.3000000000000000e+01,"利東邨","利东邨","Lei Tung Estate","中環碼頭","中环码头","Central (Ferry Piers)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=91&dsmode=1&l=1",8.0000,"01/02/25 00:00:00"
1000265,"KMB",,"93P","93P","93P",1,"T",1,7.3000000000000000e+01,"寶林","宝林","PO LAM","旺角(柏景灣)","旺角(柏景湾)","MONG KOK (PARK AVENUE)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=93P&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=93P&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=93P&lang=en",10.2000,"06/10/23 00:00:00"
1000267,"NLB",,"37","37","37",1,"T",1,1.4000000000000000e+01,"逸東邨","逸东邨","Yat Tung Estate","迎東邨(不經松滿路及東涌市中心)","迎东邨(不经松满路及东涌市中心)","Ying Tung Estate (omit Chung Mun Road & Tung Chung Town Centre)","http://www.nlb.com.hk/route?q=37","http://www.nlb.com.hk/route?q=37","http://www.nlb.com.hk/route?q=37",3.9000,"10/02/24 00:00:00"
1000268,"LRTFeeder",,"K51A","K51A","K51A",1,"T",1,3.8000000000000000e+01,"富泰","富泰","Fu Tai","掃管笏","扫管笏","So Kwun Wat","https://www.mtr.com.hk/ch/customer/services/bus_finder_search_box.html","https://www.mtr.com.hk/ch/customer/services/bus_finder_search_box.html","https://www.mtr.com.hk/en/customer/services/bus_finder_search_box.html",5.1000,"06/24/24 00:00:00"
1000269,"KMB",,"81K","81K","81K",1,"T",1,2.5000000000000000e+01,"穗禾苑","穗禾苑","SUI WO COURT","新田圍(經駿洋邨)","新田围(经骏洋邨)","SUN TIN WAI (via Chun Yeung Estate)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=81K&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=81K&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=81K&lang=en",5.2000,"07/19/23 00:00:00"
1000276,"CTB",,"11","11","11",1,"T",1,2.9000000000000000e+01,"中環碼頭","中环码头","Central (Ferry Piers)","渣甸山(循環線)","渣甸山(循环线)","Jardine's Lookout (Circular)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=11&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=11&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=11&dsmode=1&l=1",8.6000,"01/02/25 00:00:00"
1000277,"CTB",,"76","76","76",1,"T",1,3.0000000000000000e+01,"石排灣","石排湾","Shek Pai Wan","銅鑼灣(邊寧頓街)(上課日加開班次)","铜锣湾(边宁顿街)(上课日加开班次)","Causeway Bay (Pennington Street) (School days additional departure)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=1",7.0000,"06/18/23 00:00:00"
1000278,"CTB",,"76","76","76",1,"T",1,3.0000000000000000e+01,"黃竹坑站","黄竹坑站","Wong Chuk Hang Station","銅鑼灣(邊寧頓街)(上課日加開班次)","铜锣湾(边宁顿街)(上课日加开班次)","Causeway Bay (Pennington Street) (School days additional departure)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=76&dsmode=1&l=1",7.0000,"06/18/23 00:00:00"
1000279,"CTB",,"720A","720A","720A",1,"T",1,3.1000000000000000e+01,"嘉亨灣","嘉亨湾","Grand Promenade","中環 (畢打街)","中环 (毕打街)","Central (Pedder Street)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720A&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720A&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720A&dsmode=1&l=1",8.7000,"01/02/25 00:00:00"
1000280,"CTB",,"720","720","720",1,"T",1,3.3000000000000000e+01,"嘉亨灣","嘉亨湾","Grand Promenade","中環 (永和街)(循環線)(經金鐘)","中环 (永和街)(循环线)(经金钟)","Central (Wing Wo Street) (Circular) (via Admiralty)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=720&dsmode=1&l=1",8.7000,"01/02/25 00:00:00"
1000283,"CTB",,"950","950","950",1,"T",1,5.9000000000000000e+01,"屯門 (菁田及和田)","屯门 (菁田及和田)","Tuen Mun (Ching Tin and Wo Tin)","會展站","会展站","Exhibition Centre Station","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=950&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=950&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=950&dsmode=1&l=1",24.2000,"01/02/25 00:00:00"
1000284,"CTB",,"56A","56A","56A",1,"T",1,5.5000000000000000e+01,"屯門 (菁田及和田)","屯门 (菁田及和田)","Tuen Mun (Ching Tin and Wo Tin)","粉嶺皇后山(經上水站)","粉岭皇后山(经上水站)","Queen’s Hill Fanling (via Shueng Shui Station)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=56A&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=56A&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=56A&dsmode=1&l=1",16.0000,"01/02/25 00:00:00"
1000285,"KMB",,"90","90","90",1,"T",1,5.6000000000000000e+01,"碩門邨","硕门邨","SHEK MUN ESTATE","將軍澳(彩明)","将军澳(彩明)","TSEUNG KWAN O (CHOI MING)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=90&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=90&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=90&lang=en",9.2000,"06/18/23 00:00:00"
1000286,"KMB",,"97","97","97",1,"T",1,6.1000000000000000e+01,"烏溪沙站","乌溪沙站","WU KAI SHA STATION","康盛花園","康盛花园","HONG SING GARDEN","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=97&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=97&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=97&lang=en",9.2000,"06/18/23 00:00:00"
1000287,"CTB",,"798P","798P","798P",1,"T",1,7.8000000000000000e+01,"將軍澳工業邨","将军澳工业邨","Tseung Kwan O Industrial Estate","大圍站(經沙田)","大围站(经沙田)","Tai Wai Station (via Sha Tin)","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=798P&dsmode=1&l=0","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=798P&dsmode=1&l=2","https://mobile.bravobus.com.hk/nwp3/?f=1&ds=798P&dsmode=1&l=1",13.1000,"01/02/25 00:00:00"
1000294,"KMB",,"263B","263B","263B",1,"T",1,4.7000000000000000e+01,"屯門站","屯门站","TUEN MUN STATION","火炭(山尾街)","火炭(山尾街)","FO TAN (SHAN MEI STREET)","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=263B&lang=zh-hk","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=263B&lang=zh-cn","https://search.kmb.hk/KMBWebSite/?action=routesearch&route=263B&lang=en",16.9000,"06/18/23 00:00:00"
