ID,Easting,Northing,Latitude(DDD.DDDD),Longitude(DDD.DDDD)
352,832424,816369,22.286208320,114.139573422
353,832509,816566,22.287987541,114.140397773
354,832646,816570,22.288023957,114.141727184
355,832883,816562,22.287952193,114.144027001
356,833118,816546,22.287808147,114.146307425
359,834216,816529,22.287656280,114.156962203
360,834549,816423,22.286699397,114.160193673
362,835776,815299,22.276549745,114.172100466
364,836256,815346,22.276974254,114.176757910
365,836651,815181,22.275484154,114.180590571
366,836121,812332,22.249755849,114.175448266
369,834849,812181,22.248391645,114.163108520
371,834067,812035,22.247072349,114.155522485
372,833753,812133,22.247956928,114.152476225
375,832217,813023,22.255991306,114.137573192
377,832451,816153,22.284257764,114.139835934
378,832597,816220,22.284863133,114.141252498
379,833959,816435,22.286807077,114.154468467
380,832693,816173,22.284438895,114.142184146
381,832324,816133,22.284076866,114.138603634
382,831820,816389,22.286387482,114.133712348
384,831882,816481,22.287218458,114.134313725
385,832179,816467,22.287092759,114.137195772
388,834528,815850,22.281524823,114.159990515
389,835664,815426,22.277696601,114.171013681
392,831505,816084,22.283632299,114.130656591
393,831204,815956,22.282475522,114.127736243
394,830926,815909,22.282050244,114.125038850
395,830685,815906,22.282022389,114.122700345
396,830929,815925,22.282194743,114.125067907
398,831455,816162,22.284336550,114.130171183
399,831546,816244,22.285077313,114.131053964
400,831642,816380,22.286305738,114.131985118
401,834853,815649,22.279709961,114.163144281
403,840363,808207,22.212499391,114.216590086
406,840122,809573,22.224835888,114.214255998
407,839531,809430,22.223545716,114.208523335
408,838976,809685,22.225849504,114.203140621
409,838621,810750,22.235467711,114.199698853
411,838154,811089,22.238529688,114.195169268
412,837896,810961,22.237374023,114.192666438
413,837563,810986,22.237600073,114.189436255
416,836372,811920,22.246035214,114.177883230
417,836192,812151,22.248121302,114.176137057
418,836447,815102,22.274770767,114.178611163
419,836206,815108,22.274824960,114.176272767
420,835829,815076,22.274535926,114.172614786
422,835381,815372,22.277208825,114.168267737
425,835343,815417,22.277615184,114.167898995
426,835579,815250,22.276107177,114.170188994
427,835733,815147,22.275177075,114.171683287
429,836267,815147,22.275177156,114.176864643
430,836212,812208,22.248636051,114.176331076
431,836459,811893,22.245791378,114.178727206
434,837584,810983,22.237572965,114.189639959
435,837930,811074,22.238394458,114.192996365
436,838169,811099,22.238619978,114.195314786
437,838522,811080,22.238447970,114.198738999
440,838960,809774,22.226653261,114.202985578
441,839614,809608,22.225153021,114.209328752
443,839931,809565,22.224764058,114.212403385
444,840070,809565,22.224763757,114.213751607
446,839863,809163,22.221133859,114.211742924
448,840364,808229,22.212698065,114.216599841
449,833595,811729,22.244308298,114.150944131
450,834030,811615,22.243279418,114.155164132
451,834181,811654,22.243631803,114.156628889
452,834169,811633,22.243442144,114.156512508
453,834014,811584,22.242999446,114.155008963
454,833471,811704,22.244082335,114.149741277
457,833413,811575,22.242917283,114.149178861
458,833194,811602,22.243160737,114.147054358
462,834442,812085,22.247524319,114.159160294
467,834927,815647,22.279691959,114.163862321
468,835073,815529,22.278626451,114.165279080
469,836724,815502,22.278382972,114.181298977
471,833052,816228,22.284936286,114.145667611
472,833235,816085,22.283645236,114.147443637
473,833382,816029,22.283139773,114.148870152
474,833589,815947,22.282399594,114.150878906
475,833886,812340,22.249826465,114.153766157
476,834094,812205,22.248607598,114.155784182
481,837646,815572,22.279014624,114.190245329
482,834318,811455,22.241834858,114.157958131
483,834154,811330,22.240705830,114.156367394
484,833993,811413,22.241455173,114.154805490
486,836576,815179,22.275466108,114.179862850
487,835967,812090,22.247570407,114.173954332
489,832134,812792,22.253905027,114.136768554
490,832054,812666,22.252766970,114.135992768
491,832110,812489,22.251168677,114.136536502
493,835581,812384,22.250225315,114.170209617
495,832311,812547,22.251692928,114.138486312
496,832193,812461,22.250916016,114.137341777
497,832055,812580,22.251990335,114.136002694
498,832026,812737,22.253408078,114.135720942
499,832077,812563,22.251836867,114.136216167
501,832243,813366,22.259088884,114.137824575
502,832460,813137,22.257021354,114.139930409
503,832460,812947,22.255305528,114.139930858
505,834050,812084,22.247514831,114.155357501
506,834156,816205,22.284730284,114.156380402
507,833231,816405,22.286535031,114.147404219
508,832936,816453,22.286967957,114.144541529
510,834383,816247,22.285109833,114.158583063
511,833216,812202,22.248579180,114.147266637
512,832930,812203,22.248587683,114.144492126
513,832486,812319,22.249634327,114.140184574
514,832915,812211,22.248659899,114.144346593
517,815901,827545,22.387017445,113.979097789
518,834939,815587,22.279150130,114.163978809
520,836536,814448,22.268864712,114.179474608
521,836815,814368,22.268142194,114.182181573
523,837822,813460,22.259941742,114.191951038
526,836702,812827,22.254225981,114.181084777
527,836036,812433,22.250667938,114.174623653
528,835902,812349,22.249909339,114.173323708
529,835314,812258,22.249087325,114.167619472
530,834106,812322,22.249664202,114.155900438
531,834179,812525,22.251497517,114.156608359
532,834311,812575,22.251949205,114.157888867
535,834192,812191,22.248481289,114.156734906
536,834234,812365,22.250052676,114.157142131
538,836016,812437,22.250704058,114.174429628
539,836730,812839,22.254334341,114.181356422
540,837104,812823,22.254189709,114.184984766
541,837881,813191,22.257512440,114.192523177
545,836791,814234,22.266932094,114.181948670
546,836790,814378,22.268232508,114.181939015
547,836586,814420,22.268611846,114.179959727
548,836427,814600,22.270237385,114.178417054
550,841571,815508,22.278429050,114.228330090
551,841354,815371,22.277192507,114.226224075
552,841388,815248,22.276081638,114.226553586
553,841074,815381,22.277283617,114.223507250
554,840737,815567,22.278964223,114.220237838
555,840494,815689,22.280066574,114.217880289
556,840672,815772,22.280815671,114.219607695
557,840763,815866,22.281664315,114.220490959
558,833430,812343,22.249852869,114.149342420
559,833461,812433,22.250665680,114.149642999
560,833253,812403,22.250394410,114.147625201
562,840797,815767,22.280770193,114.220820594
563,840684,815714,22.280291863,114.219723975
564,840546,815612,22.279371086,114.218384652
565,840841,815610,22.279352267,114.221247091
567,841302,815199,22.275639390,114.225718976
568,841329,815396,22.277418347,114.225981577
571,837354,814226,22.266859584,114.187411086
572,837259,814382,22.268268424,114.186489460
573,837087,814454,22.268918721,114.184820678
582,837823,815105,22.274797164,114.191962338
583,837774,815338,22.276901347,114.191487115
585,838159,815260,22.276196577,114.195222691
586,837143,815661,22.279818681,114.185364678
587,836305,815454,22.277949563,114.177233362
588,834184,816170,22.284414246,114.156652147
589,834351,815852,22.281542697,114.158273019
591,837960,815201,22.275663976,114.193291735
592,837809,815195,22.275609934,114.191826584
593,837874,815063,22.274417830,114.192457143
594,837923,814972,22.273595995,114.192932489
595,838045,814974,22.273613934,114.194116233
597,838010,814846,22.272458048,114.193776496
598,838101,814668,22.270850498,114.194659240
599,838084,814513,22.269450765,114.194494120
604,834138,815219,22.275826053,114.156207043
605,834240,815197,22.275627502,114.157196772
606,834326,815176,22.275437957,114.158031251
607,834453,815170,22.275383911,114.159263530
608,834662,815173,22.275411210,114.161291439
609,834442,815269,22.276277933,114.159156686
610,837732,815851,22.281534101,114.191080057
611,833832,816223,22.284892409,114.153236417
